wf,ws,mom,freq,Sharpe_tr,CAGR_tr,MaxDD_tr
15,20,10,W-FRI,0.45573178536115005,0.08171697175604287,-0.30573426643993673
15,50,20,W-FRI,0.27721292605332265,0.03791070269513508,-0.3143399042883336
15,50,10,W-FRI,0.26522448290534145,0.03506931477723807,-0.33965133344931053
10,20,10,W-FRI,0.26388492403613084,0.03462210838569013,-0.3563501859371906
5,50,20,W-FRI,0.23967836104233664,0.028774919480403005,-0.37683767886502395
5,50,10,W-FRI,0.21846569267928287,0.024104794379152805,-0.36429681371777856
5,20,10,W-FRI,0.21021701830704845,0.02227379058199852,-0.3656482873027138
10,50,10,ME,0.20360354887341894,0.020533423527899997,-0.3655029647635797
15,20,20,W-FRI,0.17834539701699953,0.01528023216947716,-0.3082008572973596
15,50,10,ME,0.17572990133957242,0.013998350301142493,-0.39297776431591813
10,30,10,W-FRI,0.1717146315169517,0.013471476431118568,-0.3671976781026345
5,30,10,W-FRI,0.1534623492151142,0.009653101834157019,-0.3970947871163748
5,50,10,ME,0.1513629617468833,0.008714774348296261,-0.36578294477666606
15,30,10,W-FRI,0.14640660695559066,0.0073848351309371285,-0.32873078213172136
10,20,10,ME,0.13180157373424678,0.004211895789319131,-0.43887181939095943
10,30,10,ME,0.13065398481930746,0.0037728980325768546,-0.39833000737153623
15,30,10,ME,0.1259313799895275,0.002406221113050444,-0.41425101644036944
10,50,20,W-FRI,0.11706336360429945,0.0010493549176047168,-0.40666430120389807
10,50,10,W-FRI,0.10597653491082147,-0.0012462974006616223,-0.4627336604352694
15,30,20,W-FRI,0.061221776632424854,-0.01177779340930829,-0.36509173139528883
10,20,20,W-FRI,0.06042424240194545,-0.010540125327174077,-0.35861627824280407
5,20,20,W-FRI,0.0523225237571007,-0.012270677362554938,-0.3823577440207412
10,20,20,ME,0.0013928650519707297,-0.024719036815329942,-0.38637948038139214
15,20,10,ME,-0.024887815299678692,-0.03043000266774709,-0.3363304156610699
15,30,20,ME,-0.04331289430572482,-0.034738164064310406,-0.36775072096778505
10,30,20,W-FRI,-0.04338208024636366,-0.03334637656380046,-0.3724702941783593
5,30,10,ME,-0.05228173115665371,-0.03693647441566428,-0.46161539026104537
15,20,20,ME,-0.05755188902301383,-0.0377782568452687,-0.40982095811616714
5,30,20,W-FRI,-0.07076330916893586,-0.03791543967419475,-0.3970995517948266
10,30,20,ME,-0.0813822439388943,-0.04298917720403406,-0.3745118558066354
10,50,20,ME,-0.18997023847579186,-0.0701049358938548,-0.5389725701119694
15,50,20,ME,-0.20769885798491583,-0.0727420910650245,-0.5420754675219641
5,50,20,ME,-0.2199576880097505,-0.07569082747653566,-0.5436223196788446
5,20,10,ME,-0.2742187377685572,-0.08134365187177983,-0.47395640711723763
5,20,20,ME,-0.293061302273607,-0.08442861173762395,-0.4841205394018918
5,30,20,ME,-0.36059491411136385,-0.09895249659280492,-0.5365766997533508
